    # Energy          Si          Cr          Fe          Co          Ni
   -19.92764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.79764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.71764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.69764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.68764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.67764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.63764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.62764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.61764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.59764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.58764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.56764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.55764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.54764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.50764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.48764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.47764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.45764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.44764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.43764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.42764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.39764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.38764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.36764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.35764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.34764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.33764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.32764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.31764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.30764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.29764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.28764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.27764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.25764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.24764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.23764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.22764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.21764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.20764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.19764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.18764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.17764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.16764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.15764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.14764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.13764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.11764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.10764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.09764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.08764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.07764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.05764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.04764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.03764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.02764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.01764     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.00764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.99764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.98764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.97764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.96764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.95764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.94764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.93764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.92764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.91764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.90764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.89764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.88764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.87764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.85764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.84764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.83764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.82764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.81764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.80764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.79764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.78764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.77764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.76764     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.75764     0.00000     0.00000     0.00000     0.00000     0.00000
