     12.00000000    -12.0000000020000      8.91944597      1.00000000
      8.949  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.951  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.952  0.0000E+00  0.0000E+00  0.1280E+03  0.1240E+03
      8.953  0.0000E+00  0.8972E-03  0.1280E+03  0.1240E+03
      8.954  0.0000E+00  0.1512E-01  0.1280E+03  0.1240E+03
      8.955  0.0000E+00  0.4663E-01  0.1280E+03  0.1240E+03
      8.957  0.0000E+00  0.9545E-01  0.1280E+03  0.1240E+03
      8.958  0.0000E+00  0.1616E+00  0.1280E+03  0.1240E+03
      8.959  0.0000E+00  0.2450E+00  0.1280E+03  0.1240E+03
      8.960  0.0000E+00  0.3457E+00  0.1280E+03  0.1240E+03
      8.961  0.0000E+00  0.4619E+00  0.1280E+03  0.1240E+03
      8.963  0.0000E+00  0.5825E+00  0.1280E+03  0.1240E+03
      8.964  0.0000E+00  0.7055E+00  0.1280E+03  0.1240E+03
      8.965  0.0000E+00  0.8308E+00  0.1280E+03  0.1240E+03
      8.966  0.0000E+00  0.9585E+00  0.1280E+03  0.1240E+03
      8.967  0.0000E+00  0.1089E+01  0.1280E+03  0.1240E+03
      8.969  0.0000E+00  0.1221E+01  0.1280E+03  0.1240E+03
      8.970  0.0000E+00  0.1356E+01  0.1280E+03  0.1240E+03
      8.971  0.0000E+00  0.1493E+01  0.1280E+03  0.1240E+03
      8.972  0.0000E+00  0.1632E+01  0.1280E+03  0.1240E+03
      8.973  0.0000E+00  0.1774E+01  0.1280E+03  0.1240E+03
      8.975  0.0000E+00  0.1918E+01  0.1280E+03  0.1240E+03
      8.976  0.0000E+00  0.2065E+01  0.1280E+03  0.1240E+03
      8.977  0.0000E+00  0.2214E+01  0.1280E+03  0.1240E+03
      8.978  0.0000E+00  0.2365E+01  0.1280E+03  0.1240E+03
      8.979  0.0000E+00  0.2519E+01  0.1280E+03  0.1240E+03
      8.981  0.0000E+00  0.2675E+01  0.1280E+03  0.1240E+03
      8.982  0.0000E+00  0.2833E+01  0.1280E+03  0.1240E+03
      8.983  0.0000E+00  0.2994E+01  0.1280E+03  0.1240E+03
      8.984  0.0000E+00  0.3157E+01  0.1280E+03  0.1240E+03
      8.985  0.0000E+00  0.3322E+01  0.1280E+03  0.1240E+03
      8.987  0.0000E+00  0.3490E+01  0.1280E+03  0.1240E+03
      8.988  0.0000E+00  0.3714E+01  0.1280E+03  0.1241E+03
      8.989  0.0000E+00  0.4039E+01  0.1280E+03  0.1241E+03
      8.990  0.0000E+00  0.4377E+01  0.1280E+03  0.1241E+03
      8.991  0.0000E+00  0.4728E+01  0.1280E+03  0.1241E+03
      8.993  0.0000E+00  0.5091E+01  0.1280E+03  0.1241E+03
      8.994  0.0000E+00  0.5467E+01  0.1280E+03  0.1241E+03
      8.995  0.0000E+00  0.5857E+01  0.1280E+03  0.1241E+03
      8.996  0.0000E+00  0.6277E+01  0.1280E+03  0.1241E+03
      8.997  0.0000E+00  0.6727E+01  0.1280E+03  0.1241E+03
      8.999  0.0000E+00  0.7220E+01  0.1280E+03  0.1241E+03
      9.000  0.0000E+00  0.7765E+01  0.1280E+03  0.1241E+03
      9.001  0.0000E+00  0.8360E+01  0.1280E+03  0.1241E+03
      9.002  0.0000E+00  0.8985E+01  0.1280E+03  0.1241E+03
      9.003  0.0000E+00  0.9667E+01  0.1280E+03  0.1242E+03
      9.005  0.0000E+00  0.1051E+02  0.1280E+03  0.1242E+03
      9.006  0.0000E+00  0.1152E+02  0.1280E+03  0.1242E+03
      9.007  0.0000E+00  0.1239E+02  0.1280E+03  0.1242E+03
      9.008  0.0000E+00  0.1274E+02  0.1280E+03  0.1242E+03
      9.009  0.0000E+00  0.1283E+02  0.1280E+03  0.1242E+03
      9.011  0.0000E+00  0.1298E+02  0.1280E+03  0.1242E+03
      9.012  0.0000E+00  0.1328E+02  0.1280E+03  0.1243E+03
      9.013  0.0000E+00  0.1362E+02  0.1280E+03  0.1243E+03
      9.014  0.0000E+00  0.1392E+02  0.1280E+03  0.1243E+03
      9.015  0.0000E+00  0.1418E+02  0.1280E+03  0.1243E+03
      9.017  0.0000E+00  0.1441E+02  0.1280E+03  0.1243E+03
      9.018  0.0000E+00  0.1460E+02  0.1280E+03  0.1243E+03
      9.019  0.0000E+00  0.1475E+02  0.1280E+03  0.1244E+03
      9.020  0.0000E+00  0.1486E+02  0.1280E+03  0.1244E+03
      9.021  0.0000E+00  0.1494E+02  0.1280E+03  0.1244E+03
      9.023  0.0000E+00  0.1497E+02  0.1280E+03  0.1244E+03
      9.024  0.0000E+00  0.1497E+02  0.1280E+03  0.1244E+03
      9.025  0.0000E+00  0.1496E+02  0.1280E+03  0.1244E+03
      9.026  0.0000E+00  0.1492E+02  0.1280E+03  0.1245E+03
      9.027  0.0000E+00  0.1487E+02  0.1280E+03  0.1245E+03
      9.029  0.0000E+00  0.1481E+02  0.1280E+03  0.1245E+03
      9.030  0.0000E+00  0.1473E+02  0.1280E+03  0.1245E+03
      9.031  0.0000E+00  0.1464E+02  0.1280E+03  0.1245E+03
      9.032  0.0000E+00  0.1453E+02  0.1280E+03  0.1246E+03
      9.033  0.0000E+00  0.1441E+02  0.1280E+03  0.1246E+03
      9.035  0.0000E+00  0.1427E+02  0.1280E+03  0.1246E+03
      9.036  0.0000E+00  0.1411E+02  0.1280E+03  0.1246E+03
      9.037  0.0000E+00  0.1394E+02  0.1280E+03  0.1246E+03
      9.038  0.0000E+00  0.1376E+02  0.1280E+03  0.1246E+03
      9.039  0.0000E+00  0.1356E+02  0.1280E+03  0.1247E+03
      9.041  0.0000E+00  0.1334E+02  0.1280E+03  0.1247E+03
      9.042  0.0000E+00  0.1311E+02  0.1280E+03  0.1247E+03
      9.043  0.0000E+00  0.1286E+02  0.1280E+03  0.1247E+03
      9.044  0.0000E+00  0.1260E+02  0.1280E+03  0.1247E+03
      9.045  0.0000E+00  0.1217E+02  0.1280E+03  0.1247E+03
      9.047  0.0000E+00  0.1181E+02  0.1280E+03  0.1247E+03
      9.048  0.0000E+00  0.1948E+02  0.1280E+03  0.1248E+03
      9.049  0.0000E+00  0.1495E+02  0.1280E+03  0.1248E+03
      9.050  0.0000E+00  0.1207E+02  0.1280E+03  0.1248E+03
      9.051  0.0000E+00  0.1075E+02  0.1280E+03  0.1248E+03
      9.053  0.0000E+00  0.1034E+02  0.1280E+03  0.1248E+03
      9.054  0.0000E+00  0.9909E+01  0.1280E+03  0.1248E+03
      9.055  0.0000E+00  0.9452E+01  0.1280E+03  0.1248E+03
      9.056  0.0000E+00  0.9004E+01  0.1280E+03  0.1249E+03
      9.057  0.0000E+00  0.8566E+01  0.1280E+03  0.1249E+03
      9.059  0.0000E+00  0.8138E+01  0.1280E+03  0.1249E+03
      9.060  0.0000E+00  0.7720E+01  0.1280E+03  0.1249E+03
      9.061  0.0000E+00  0.7313E+01  0.1280E+03  0.1249E+03
      9.062  0.0000E+00  0.6916E+01  0.1280E+03  0.1249E+03
      9.063  0.0000E+00  0.6529E+01  0.1280E+03  0.1249E+03
      9.065  0.0000E+00  0.6152E+01  0.1280E+03  0.1249E+03
      9.066  0.0000E+00  0.5786E+01  0.1280E+03  0.1249E+03
      9.067  0.0000E+00  0.5430E+01  0.1280E+03  0.1249E+03
