    # Energy          Si          Ti          Cr          Fe          Ni
   -18.98272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.97372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.96372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.95472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.94472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.93472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.92572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.91572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.90672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.89672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.88672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.87772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.85772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.84872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.83872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.82972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.81972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.80972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.80072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.79072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.78172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.77172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.76172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.75272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.74272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.73372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.72372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.71372     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.70472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.69472     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.68572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.67572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.66572     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.65672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.64672     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.63772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.62772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.61772     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.60872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.59872     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.58972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.57972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.56972     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.56072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.55072     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.54172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.53172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.52172     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.51272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.50272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.49372     0.00000     0.00000     0.00000     0.00000     0.00000
