    # Energy          Fe          Si
   -17.87229     0.00000     0.00000
   -17.86329     0.00000     0.00000
   -17.85329     0.00000     0.00000
   -17.84429     0.00000     0.00000
   -17.83429     0.00000     0.00000
   -17.82429     0.00000     0.00000
   -17.81529     0.00000     0.00000
   -17.80529     0.00000     0.00000
   -17.79629     0.00000     0.00000
   -17.78629     0.00000     0.00000
   -17.77629     0.00000     0.00000
   -17.76729     0.00000     0.00000
   -17.75729     0.00000     0.00000
   -17.74829     0.00000     0.00000
   -17.73829     0.00000     0.00000
   -17.72829     0.00000     0.00000
   -17.71929     0.00000     0.00000
   -17.70929     0.00000     0.00000
   -17.70029     0.00000     0.00000
   -17.69029     0.00000     0.00000
   -17.68029     0.00000     0.00000
   -17.67129     0.00000     0.00000
   -17.66129     0.00000     0.00000
   -17.65229     0.00000     0.00000
   -17.64229     0.00000     0.00000
   -17.63229     0.00000     0.00000
   -17.62329     0.00000     0.00000
   -17.61329     0.00000     0.00000
   -17.60429     0.00000     0.00000
   -17.59429     0.00000     0.00000
   -17.58429     0.00000     0.00000
   -17.57529     0.00000     0.00000
   -17.56529     0.00000     0.00000
   -17.55629     0.00000     0.00000
   -17.54629     0.00000     0.00000
   -17.53629     0.00000     0.00000
   -17.52729     0.00000     0.00000
   -17.51729     0.00000     0.00000
   -17.50829     0.00000     0.00000
   -17.49829     0.00000     0.00000
   -17.48829     0.00000     0.00000
   -17.47929     0.00000     0.00000
   -17.46929     0.00000     0.00000
   -17.46029     0.00000     0.00000
   -17.45029     0.00000     0.00000
   -17.44029     0.00000     0.00000
   -17.43129     0.00000     0.00000
   -17.42129     0.00000     0.00000
   -17.41129     0.00000     0.00000
   -17.40229     0.00000     0.00000
   -17.39229     0.00000     0.00000
   -17.38329     0.00000     0.00000
   -17.37329     0.00000     0.00000
   -17.36329     0.00000     0.00000
   -17.35429     0.00000     0.00000
   -17.34429     0.00000     0.00000
   -17.33529     0.00000     0.00000
   -17.32529     0.00000     0.00000
   -17.31529     0.00000     0.00000
   -17.30629     0.00000     0.00000
   -17.29629     0.00000     0.00000
   -17.28729     0.00000     0.00000
   -17.27729     0.00000     0.00000
   -17.26729     0.00000     0.00000
   -17.25829     0.00000     0.00000
   -17.24829     0.00000     0.00000
   -17.23929     0.00000     0.00000
   -17.22929     0.00000     0.00000
   -17.21929     0.00000     0.00000
   -17.21029     0.00000     0.00000
   -17.20029     0.00000     0.00000
   -17.19129     0.00000     0.00000
   -17.18129     0.00000     0.00000
   -17.17129     0.00000     0.00000
   -17.16229     0.00000     0.00000
   -17.15229     0.00000     0.00000
   -17.14329     0.00000     0.00000
   -17.13329     0.00000     0.00000
   -17.12329     0.00000     0.00000
   -17.11429     0.00000     0.00000
   -17.10429     0.00000     0.00000
   -17.09529     0.00000     0.00000
   -17.08529     0.00000     0.00000
   -17.07529     0.00000     0.00000
   -17.06629     0.00000     0.00000
   -17.05629     0.00000     0.00000
   -17.04729     0.00000     0.00000
   -17.03729     0.00000     0.00000
   -17.02729     0.00000     0.00000
   -17.01829     0.00000     0.00000
   -17.00829     0.00000     0.00000
   -16.99929     0.00000     0.00000
   -16.98929     0.00000     0.00000
   -16.97929     0.00000     0.00000
   -16.97029     0.00000     0.00000
   -16.96029     0.00000     0.00000
   -16.95029     0.00000     0.00000
   -16.94129     0.00000     0.00000
   -16.93129     0.00000     0.00000
   -16.92229     0.00000     0.00000
   -16.91229     0.00000     0.00000
   -16.90229     0.00000     0.00000
   -16.89329     0.00000     0.00000
   -16.88329     0.00000     0.00000
   -16.87429     0.00000     0.00000
   -16.86429     0.00000     0.00000
   -16.85429     0.00000     0.00000
   -16.84529     0.00000     0.00000
   -16.83529     0.00000     0.00000
   -16.82629     0.00000     0.00000
   -16.81629     0.00000     0.00000
   -16.80629     0.00000     0.00000
   -16.79729     0.00000     0.00000
   -16.78729     0.00000     0.00000
   -16.77829     0.00000     0.00000
   -16.76829     0.00000     0.00000
   -16.75829     0.00000     0.00000
