    # Energy          Si          Ti          Cr          Mn          Fe
   -18.48504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.47504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.46604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.45604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.44704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.43704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.42704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.41804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.40804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.39904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.38904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.37904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.37004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.36004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.35004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.34104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.33104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.32204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.31204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.30204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.29304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.28304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.27404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.26404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.25404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.24504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.23504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.22604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.21604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.20604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.19704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.18704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.17804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.16804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.15804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.14904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.13904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.13004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.12004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.11004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.10104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.09104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.08204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.07204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.06204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.05304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.04304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.03404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.02404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.01404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.00504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.99504     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.98604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.97604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.96604     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.95704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.94704     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.93804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.92804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.91804     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.90904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.89904     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.89004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.88004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.87004     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.86104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.85104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.84104     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.83204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.82204     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.81304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.80304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.79304     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.78404     0.00000     0.00000     0.00000     0.00000     0.00000
